episode;fake_acc;real_acc;perceptual_acc;gen_loss
0;0.976171875;0.987109375;0.023828125;6882.746875
1;0.979296875;0.983203125;0.020703125;4980.5109375
2;0.9828125;0.9890625;0.0171875;4548.01015625
3;0.984765625;0.988671875;0.015234375;4110.45546875
4;0.988671875;0.989453125;0.011328125;3886.948046875
5;0.996875;0.985546875;0.003125;3717.328515625
6;0.989453125;0.982421875;0.010546875;3648.71796875
7;0.976953125;0.98046875;0.023046875;3548.244140625
8;0.96640625;0.97265625;0.03359375;3514.487890625
9;0.994921875;0.988671875;0.005078125;3417.08515625
10;0.995703125;0.9921875;0.004296875;3311.4359375
11;0.9890625;0.99140625;0.0109375;3223.64375
12;0.983984375;0.990625;0.016015625;3160.191015625
13;0.9796875;0.98984375;0.0203125;3172.597265625
14;0.979296875;0.99140625;0.020703125;3179.2130859375
15;0.9765625;0.9921875;0.0234375;3015.0517578125
16;0.9609375;0.973828125;0.0390625;3004.7830078125
17;0.994140625;0.976953125;0.005859375;2911.0359375
18;0.99609375;0.976953125;0.00390625;2840.987890625
19;0.996875;0.98359375;0.003125;2914.73203125
20;0.9953125;0.9796875;0.0046875;2825.3783203125
21;0.99140625;0.98046875;0.00859375;2737.449609375
22;0.990625;0.976953125;0.009375;2771.4283203125
23;0.992578125;0.978125;0.007421875;2755.8373046875
24;0.9640625;0.97890625;0.0359375;2663.731640625
25;0.973046875;0.996484375;0.026953125;2728.49296875
26;0.973828125;0.996484375;0.026171875;2643.8896484375
27;0.962890625;0.9953125;0.037109375;2609.3056640625
28;0.963671875;0.9984375;0.036328125;2609.0947265625
29;0.960546875;0.998046875;0.039453125;2610.875390625
30;0.955078125;0.99453125;0.044921875;2572.31328125
31;0.94609375;0.995703125;0.05390625;2480.341015625
32;0.96796875;0.980078125;0.03203125;2477.3298828125
33;0.994921875;0.98046875;0.005078125;2460.28515625
34;0.995703125;0.973828125;0.004296875;2496.9197265625
35;0.9921875;0.9828125;0.0078125;2519.2859375
36;0.995703125;0.980078125;0.004296875;2404.958203125
37;0.995703125;0.98203125;0.004296875;2370.465234375
38;0.99453125;0.9796875;0.00546875;2369.3615234375
39;0.990625;0.9796875;0.009375;2330.622265625
40;0.968359375;0.98125;0.031640625;2351.042578125
41;0.973046875;0.993359375;0.026953125;2338.6076171875
42;0.971875;0.993359375;0.028125;2324.19296875
43;0.975;0.99140625;0.025;2402.3384765625
44;0.97109375;0.99453125;0.02890625;2255.434765625
45;0.966015625;0.99375;0.033984375;2280.4751953125
46;0.956640625;0.994921875;0.043359375;2212.37578125
47;0.962890625;0.993359375;0.037109375;2271.0626953125
48;0.96484375;0.98203125;0.03515625;2332.580078125
49;0.987890625;0.9890625;0.012109375;2273.9853515625
