episode;fake_acc;real_acc;perceptual_acc;gen_loss
0;0.984765625;0.9953125;0.015234375;1630.78203125
1;0.985546875;0.994921875;0.014453125;1621.25625
2;0.98046875;0.99453125;0.01953125;1571.679296875
3;0.98203125;0.994140625;0.01796875;1558.5109375
4;0.976953125;0.99296875;0.023046875;1574.19560546875
5;0.977734375;0.99765625;0.022265625;1544.520703125
6;0.975390625;0.994140625;0.024609375;1520.22060546875
7;0.979296875;0.994140625;0.020703125;1507.42138671875
8;0.9796875;0.99375;0.0203125;1509.9484375
9;0.97734375;0.995703125;0.02265625;1502.47119140625
10;0.970703125;0.994921875;0.029296875;1518.168359375
11;0.971875;0.99375;0.028125;1488.4279296875
12;0.970703125;0.9953125;0.029296875;1475.2810546875
13;0.974609375;0.994140625;0.025390625;1487.683203125
14;0.970703125;0.993359375;0.029296875;1484.56708984375
15;0.970703125;0.994140625;0.029296875;1505.47099609375
16;0.96796875;0.997265625;0.03203125;1483.39560546875
17;0.96640625;0.996875;0.03359375;1509.85
18;0.96640625;0.99609375;0.03359375;1513.1474609375
19;0.967578125;0.997265625;0.032421875;1476.64951171875
20;0.96171875;0.9953125;0.03828125;1473.77216796875
21;0.9625;0.996484375;0.0375;1458.48974609375
22;0.97109375;0.994140625;0.02890625;1417.65888671875
23;0.960546875;0.996875;0.039453125;1431.394140625
24;0.96484375;0.995703125;0.03515625;1448.63642578125
25;0.95703125;0.997265625;0.04296875;1390.04765625
26;0.965234375;0.99765625;0.034765625;1402.04951171875
27;0.962890625;0.996875;0.037109375;1452.93046875
28;0.95859375;0.99296875;0.04140625;1433.25927734375
29;0.9609375;0.99296875;0.0390625;1410.618359375
30;0.953515625;0.994921875;0.046484375;1425.9439453125
31;0.956640625;0.99609375;0.043359375;1456.209375
32;0.94609375;0.99375;0.05390625;1363.35322265625
33;0.9515625;0.99609375;0.0484375;1406.527734375
34;0.945703125;0.994921875;0.054296875;1355.61640625
35;0.943359375;0.995703125;0.056640625;1381.08759765625
36;0.95078125;0.99609375;0.04921875;1371.46982421875
37;0.94765625;0.994921875;0.05234375;1353.44833984375
38;0.952734375;0.99609375;0.047265625;1347.7626953125
39;0.948828125;0.996875;0.051171875;1388.09658203125
40;0.945703125;0.9953125;0.054296875;1339.553515625
41;0.94140625;0.99453125;0.05859375;1342.02421875
42;0.937109375;0.994921875;0.062890625;1359.06298828125
43;0.938671875;0.994921875;0.061328125;1322.923828125
44;0.9328125;0.9953125;0.0671875;1339.743359375
45;0.934765625;0.993359375;0.065234375;1374.610546875
46;0.932421875;0.992578125;0.067578125;1318.1
47;0.93828125;0.994140625;0.06171875;1352.66865234375
48;0.926953125;0.99375;0.073046875;1306.7669921875
49;0.9265625;0.996875;0.0734375;1303.67607421875
