episode;fake_acc;real_acc;perceptual_acc;gen_loss
0;0.984765625;0.978125;0.015234375;5657.236328125
1;0.9921875;0.991796875;0.0078125;3992.726953125
2;0.976953125;0.983203125;0.023046875;3527.19296875
3;0.985546875;0.988671875;0.014453125;3234.23984375
4;0.987890625;0.9921875;0.012109375;2961.1091796875
5;0.996875;0.9953125;0.003125;2882.1921875
6;0.994140625;0.998046875;0.005859375;2808.0142578125
7;0.99140625;0.998046875;0.00859375;2609.2150390625
8;0.985546875;0.993359375;0.014453125;2482.78046875
9;0.997265625;0.994140625;0.002734375;2441.1021484375
10;0.998046875;0.99453125;0.001953125;2346.1494140625
11;0.99609375;0.99375;0.00390625;2243.1349609375
12;0.99453125;0.994921875;0.00546875;2206.8345703125
13;0.988671875;0.994921875;0.011328125;2238.7978515625
14;0.9859375;0.997265625;0.0140625;2125.95078125
15;0.984765625;0.997265625;0.015234375;2145.068359375
16;0.964453125;0.980078125;0.035546875;2087.793359375
17;0.981640625;0.9953125;0.018359375;2043.703125
18;0.98203125;0.998046875;0.01796875;1953.4072265625
19;0.973046875;0.998828125;0.026953125;1985.4560546875
20;0.975390625;0.998828125;0.024609375;2003.3697265625
21;0.967578125;0.998046875;0.032421875;1980.051953125
22;0.967578125;0.99765625;0.032421875;1923.955078125
23;0.9703125;0.997265625;0.0296875;1996.3345703125
24;0.971875;0.98359375;0.028125;1867.327734375
25;0.946484375;1.0;0.053515625;1981.471875
26;0.93671875;1.0;0.06328125;1927.9296875
27;0.928515625;1.0;0.071484375;1843.15234375
28;0.9265625;0.999609375;0.0734375;1839.738671875
29;0.911328125;1.0;0.088671875;1816.058984375
30;0.914453125;1.0;0.085546875;1909.7703125
31;0.9;1.0;0.1;1804.1015625
32;0.96171875;0.980078125;0.03828125;1752.3638671875
33;0.9796875;0.995703125;0.0203125;1816.8
34;0.98359375;0.996875;0.01640625;1731.6455078125
35;0.987109375;0.996875;0.012890625;1803.434375
36;0.981640625;0.996875;0.018359375;1735.2748046875
37;0.978515625;0.998046875;0.021484375;1757.79375
38;0.982421875;0.996484375;0.017578125;1738.2080078125
39;0.974609375;0.998046875;0.025390625;1665.0265625
40;0.971875;0.98828125;0.028125;1676.571484375
41;0.993359375;0.909375;0.006640625;1723.429296875
42;0.9953125;0.90546875;0.0046875;1642.1421875
43;0.99375;0.914453125;0.00625;1631.10830078125
44;0.991015625;0.91171875;0.008984375;1651.344921875
45;0.993359375;0.916796875;0.006640625;1675.85625
46;0.990234375;0.916796875;0.009765625;1548.59375
47;0.990625;0.90546875;0.009375;1654.791015625
48;0.962109375;0.9828125;0.037890625;1569.18203125
49;0.995703125;0.93515625;0.004296875;1611.6302734375
